Date (date),State Name (state_name),District Name (district_name),Station Name (station_name),Latitude (latitude),Longitude (longitude),currentlevel,level_diff
2016-08-24,Madhya Pradesh,Dhar,Kukshi1,22.20389,74.75528,3.2,-2.75
2018-08-19,Telangana,Medak,Mallaram-DW14,18.18333,78.96944,9.13,-1.84
2017-11-04,Jharkhand,Dumka,Gopikandar,24.49167,87.49167,8.51,1.86
2019-01-04,Andhra Pradesh,Srikakulam,Chalavaripeta DW13,18.50917,84.06306,2.14,0.82
2018-05-29,Jharkhand,Ramgarh,Sirka,23.64306,85.44028,7.69,-1.01
2015-08-24,Rajasthan,Jaipur,Majhi Renwal,26.70056,75.68333,19.9,-7.49
2016-08-24,Madhya Pradesh,Indore,Indore Pipliyapala,22.67583,75.85694,1.42,-10.68
2015-05-14,Bihar,Supaul,Pipra chowk,26.15694,86.7875,5.3,0.41
2013-01-05,Madhya Pradesh,Raisen,Silwani,23.3,78.43972,6.98,-0.4
2013-11-04,Chhattisgarh,Durg,Kathiya,21.61194,81.65722,2.6,1.2
2017-05-14,Bihar,Jamui,Ambedkar Nagar,24.79444,86.36028,11.02,5.05
2019-08-29,Bihar,Saran,Rampur Kala,25.87361,84.77333,5.86,-0.55
2015-01-04,Karnataka,Shivamogga,Kaijegebulu,13.9825,75.11028,8.6,-1.34
2019-05-19,Haryana,Nuh,Indri,28.18611,77.09861,3.01,0.8
2018-06-06,Tamil Nadu,Cuddalore,Maruthur2,11.49222,79.60278,46.97,3.55
2016-11-06,Odisha,Puri,Kakatpur,20.00611,86.1925,2.0,0.85
2016-08-24,Jharkhand,West Singhbhum,Bandgaon,22.84167,85.32917,3.7,-3.4
2016-01-06,West Bengal,Bankura,Tribanka,23.02917,87.39444,13.4,3.05
2017-01-04,Uttar Pradesh,Moradabad,Moradabad-Pz,28.825,78.78333,8.75,-0.35
2019-05-28,Chhattisgarh,Janjgir-Champa,Kosa,21.89389,82.34361,4.23,0.78
2018-01-04,Karnataka,Shivamogga,Hiriyur,13.81722,75.6675,2.2,1.57
2017-11-04,Maharashtra,Bhandara,Dahegaon2,21.28333,79.68333,6.4,0.85
2015-04-23,Madhya Pradesh,Seoni,Keolari,22.37139,79.91083,1.3,-0.1
2015-08-24,Madhya Pradesh,Dindori,Bijhauri,22.85667,81.22917,0.72,-2.0
2016-08-24,Karnataka,Uttara Kannada,Kadra,14.825,74.34861,2.02,-5.18
2019-01-09,Odisha,Kandhamal,Sudrukumpa,20.53333,84.30139,4.45,1.6
2017-05-14,Bihar,Sitamarhi,Thumba,26.42917,85.50417,3.15,1.36
2017-02-22,Tamil Nadu,Ramanathapuram,Ramanathapuram2,9.36667,78.78333,5.63,1.08
2020-08-24,Bihar,Patna,Rajpura,25.45889,85.6425,2.28,-2.26
2019-02-20,Rajasthan,Alwar,RAMGARH1,27.58333,76.80972,16.72,-12.43
