Year,State,District,Post_Monsoon,Pre_Monsoon
2021-22,Andaman and Nicobar Islands,Havelock Island,0 to 2,0 to 2
2021-22,Andaman and Nicobar Islands,Long Island,0 to 2,2 to 5
2021-22,Andaman and Nicobar Islands,Middle Andaman,0 to 2,0 to 2
2021-22,Andaman and Nicobar Islands,Neil Island,2 to 5,2 to 5
2021-22,Andaman and Nicobar Islands,North Andaman,0 to 2,0 to 2
2021-22,Andaman and Nicobar Islands,Ross Island,0 to 2,0 to 2
2021-22,Andaman and Nicobar Islands,South Andaman,0 to 2,0 to 2
2021-22,Andhra Pradesh,Anantapur,0 to 2,10 to 20
2021-22,Andhra Pradesh,Chittoor,2 to 5,5 to 10
2021-22,Andhra Pradesh,East Godavari,0 to 2,2 to 5
2021-22,Andhra Pradesh,Guntur,0 to 2,2 to 5
2021-22,Andhra Pradesh,Krishna,0 to 2,2 to 5
2021-22,Andhra Pradesh,Kurnool,2 to 5,2 to 5
2021-22,Andhra Pradesh,Nellore,0 to 2,2 to 5
2021-22,Andhra Pradesh,Prakasam,2 to 5,5 to 10
2021-22,Andhra Pradesh,Srikakulam,0 to 2,5 to 10
2021-22,Andhra Pradesh,Visakhapatnam,0 to 2,5 to 10
2021-22,Andhra Pradesh,Vizianagaram,0 to 2,5 to 10
2021-22,Andhra Pradesh,West Godavari,0 to 2,10 to 20
2021-22,Andhra Pradesh,Y.S.R. (Kadapa),0 to 2,2 to 5
2021-22,Arunachal Pradesh,Anjaw,2 to 5,2 to 5
2021-22,Arunachal Pradesh,Changlang,2 to 5,2 to 5
2021-22,Arunachal Pradesh,Dibang Valley,2 to 5,2 to 5
2021-22,Arunachal Pradesh,East Kameng,0 to 2,0 to 2
2021-22,Arunachal Pradesh,East Siang,0 to 2,2 T0 5
2021-22,Arunachal Pradesh,Kamle,0 to 2,5 to 10
2021-22,Arunachal Pradesh,Kra Daadi,0 to 2,5 to 10
2021-22,Arunachal Pradesh,Kurung Kumey,0 to 2,5 to 10
2021-22,Arunachal Pradesh,Lepa Rada,5 to 10,10 to 20
2021-22,Arunachal Pradesh,Lohit,2 to 5,2 T0 5
2021-22,Arunachal Pradesh,Longding,5 to 10,5 to 10
2021-22,Arunachal Pradesh,Lower Dibang Valley,2 to 5,10 to 20
2021-22,Arunachal Pradesh,Lower Siang,5 to 10,10 to 20
2021-22,Arunachal Pradesh,Lower Subansiri,2 to 5,5 to 10
2021-22,Arunachal Pradesh,Namasai,2 to 5,2 to 5
2021-22,Arunachal Pradesh,Pakke Kessang,0 to 2,0 to 2
2021-22,Arunachal Pradesh,Papum Pare,0 to 2,0 to 2
2021-22,Arunachal Pradesh,Shi Yomi,5 to 10,10 to 20
2021-22,Arunachal Pradesh,Siang,0 to 2,2 to 5
2021-22,Arunachal Pradesh,Tawang,0 to 2,0 to 2
2021-22,Arunachal Pradesh,Tirap,2 to 5,5 to 10
2021-22,Arunachal Pradesh,Upper Siang,5 to 10,10 to 20
2021-22,Arunachal Pradesh,Upper Subansiri,0 to 2,5 to 10
2021-22,Arunachal Pradesh,West Kameng,0 to 2,0 to 2
2021-22,Arunachal Pradesh,West Siang,0 to 2,2 to 5
2021-22,Assam,Baksa,2 to 5,2 to 5
2021-22,Assam,Barpeta,0 to 2,2 to 5
2021-22,Assam,Biswanath,0 to 2,2 to 5
2021-22,Assam,Bongaigaon,2 to 5,2 to 5
2021-22,Assam,Cachar,0 to 2,2 to 5
2021-22,Assam,Charaideo,0 to 2,2 to 5
2021-22,Assam,Chirang,2 to 5,2 to 5
2021-22,Assam,Darrang,2 to 5,2 to 5
2021-22,Assam,Dhemaji,0 to 2,2 to 5
2021-22,Assam,Dhubri,2 to 5,2 to 5
2021-22,Assam,Dibrugarh,2 to 5,2 to 5
2021-22,Assam,Dima Hasao,0 to 2,0 to 2
2021-22,Assam,East Karbi Anglong,2 to 5,0 to 2
2021-22,Assam,Goalpara,2 to 5,2 to 5
2021-22,Assam,Golaghat,2 to 5,5 to 10
2021-22,Assam,Hailakandi,0 to 2,2 to 5
2021-22,Assam,Hojai,5 to 10,5 to 10
2021-22,Assam,Jorhat,0 to 2,2 to 5
2021-22,Assam,Kamrup,0 to 2,2 to 5
2021-22,Assam,Kamrup (Metro),2 to 5,2 to 5
2021-22,Assam,Karbi Anglong,2 to 5,2 to 5
2021-22,Assam,Karimganj,0 to 2,0 to 2
2021-22,Assam,Kokrajhar,2 to 5,2 to 5
2021-22,Assam,Lakhimpur,0 to 2,2 to 5
2021-22,Assam,Majuli,0 to 2,2 to 5
2021-22,Assam,Morigaon,2 to 5,2 to 5
2021-22,Assam,Nagaon,2 to 5,2 to 5
2021-22,Assam,Nalbari,2 to 5,2 to 5
2021-22,Assam,Sivasagar,2 to 5,2 to 5
2021-22,Assam,Sonitpur,0 to 2,2 to 5
2021-22,Assam,South Salmara Mankachar,0 to 2,2 to 5
2021-22,Assam,Tinsukia,2 to 5,2 to 5
2021-22,Assam,Udalguri,2 to 5,2 to 5
2021-22,Assam,West Karbi Anglong,2 to 5,2 to 5
2021-22,Bihar,Araria,2 to 5,2 to 5
2021-22,Bihar,Arwal,2 to 5,5 to 10
2021-22,Bihar,Aurangabad,2 to 5,2 to 5
2021-22,Bihar,Banka,0 to 2,5 to 10
2021-22,Bihar,Begusarai,2 to 5,2 to 5
2021-22,Bihar,Bhagalpur,2 to 5,5 to 10
2021-22,Bihar,Bhojpur,2 to 5,5 to 10
2021-22,Bihar,Buxar,2 to 5,5 to 10
2021-22,Bihar,Darbhanga,0 to 2,2 to 5
2021-22,Bihar,East Champaran,2 to 5,0 to 2
2021-22,Bihar,Gaya,2 to 5,5 to 10
2021-22,Bihar,Gopalganj,0 to 2,2 to 5
2021-22,Bihar,Jamui,2 to 5,5 to 10
2021-22,Bihar,Jehanabad,2 to 5,2 to 5
2021-22,Bihar,Kaimur,5 to 10,5 to 10
2021-22,Bihar,Katihar,2 to 5,5 to 10
2021-22,Bihar,Khagaria,2 to 5,5 to 10
2021-22,Bihar,Kishanganj,2 to 5,2 to 5
2021-22,Bihar,Lakhisarai,0 to 2,5 to 10
2021-22,Bihar,Madhepura,2 to 5,2 to 5
2021-22,Bihar,Madhubani,0 to 2,2 to 5
2021-22,Bihar,Munger,2 to 5,5 to 10
2021-22,Bihar,Muzaffarpur,2 to 5,2 to 5
2021-22,Bihar,Nalanda,0 to 2,2 to 5
2021-22,Bihar,Nawada,2 to 5,5 to 10
2021-22,Bihar,Patna,0 to 2,0 to 2
2021-22,Bihar,Purnia,2 to 5,2 to 5
2021-22,Bihar,Rohtas,2 to 5,5 to 10
2021-22,Bihar,Saharsa,2 to 5,2 to 5
2021-22,Bihar,Samastipur,2 to 5,2 to 5
2021-22,Bihar,Saran,0 to 2,0 to 2
2021-22,Bihar,Sheikhpura,0 to 2,2 to 5
2021-22,Bihar,Sheohar,2 to 5,2 to 5
2021-22,Bihar,Sitamarhi,0 to 2,0 to 2
2021-22,Bihar,Siwan,0 to 2,2 to 5
2021-22,Bihar,Supaul,2 to 5,2 to 5
2021-22,Bihar,Vaishali,2 to 5,2 to 5
2021-22,Bihar,West Champaran,2 to 5,2 to 5
2021-22,Chandigarh,Chandigarh,10 to 20,20 to 40
2021-22,Chhattisgarh,Balod,2 to 5,2 to 5
2021-22,Chhattisgarh,Baloda Bazar,2 to 5,5 to 10
2021-22,Chhattisgarh,Balrampur,2 to 5,5 to 10
2021-22,Chhattisgarh,Bastar,2 to 5,5 to 10
2021-22,Chhattisgarh,Bemetara,2 to 5,5 to 10
2021-22,Chhattisgarh,Bijapur,2 to 5,5 to 10
2021-22,Chhattisgarh,Bilaspur,2 to 5,5 to 10
2021-22,Chhattisgarh,Dantewada,2 to 5,5 to 10
2021-22,Chhattisgarh,Dhamtari,2 to 5,2 to 5
2021-22,Chhattisgarh,Durg,2 to 5,2 to 5
2021-22,Chhattisgarh,Gariyaband,2 to 5,5 to 10
2021-22,Chhattisgarh,Janjgir-Champa,2 to 5,5 to 10
2021-22,Chhattisgarh,Jashpur,2 to 5,2 to 5
2021-22,Chhattisgarh,Kanker (North Bastar),2 to 5,5 to 10
2021-22,Chhattisgarh,Kawardha/ Kabirdham,2 to 5,5 to 10
2021-22,Chhattisgarh,Kondagaon,2 to 5,5 to 10
2021-22,Chhattisgarh,Korba,2 to 5,5 to 10
2021-22,Chhattisgarh,Koriya,2 to 5,2 to 5
2021-22,Chhattisgarh,Mahasamund,2 to 5,2 to 5
2021-22,Chhattisgarh,Mungeli,2 to 5,5 to 10
