Year,State,District,Pre_Monsoon,Post_Monsoon
2022-23,Andaman and Nicobar Islands,Havelock Island,0 to 2,0 to 2
2022-23,Andaman and Nicobar Islands,Long Island,0 to 2,0 to 2
2022-23,Andaman and Nicobar Islands,Middle Andaman,0 to 2,0 to 2
2022-23,Andaman and Nicobar Islands,Neil Island,2 to 5,2 to 5
2022-23,Andaman and Nicobar Islands,North Andaman,0 to 2,0 to 2
2022-23,Andaman and Nicobar Islands,Ross Island,2 to 5,2 to 5
2022-23,Andaman and Nicobar Islands,South Andaman,0 to 2,0 to 2
2022-23,Andhra Pradesh,Alluri Sitharama Raju,2 to 5,0 to 2
2022-23,Andhra Pradesh,Anakapalli,2 to 5,0 to 2
2022-23,Andhra Pradesh,Ananthapuramu,2 to 5,2 to 5
2022-23,Andhra Pradesh,Annamayya,5 to 10,5 to 10
2022-23,Andhra Pradesh,Bapatla,2 to 5,0 to 2
2022-23,Andhra Pradesh,Chittoor,2 to 5,5 to 10
2022-23,Andhra Pradesh,East Godavari,2 to 5,0 to 2
2022-23,Andhra Pradesh,Eluru,2 to 5,0 to 2
2022-23,Andhra Pradesh,Guntur,2 to 5,0 to 2
2022-23,Andhra Pradesh,Kakinada,2 to 5,0 to 2
2022-23,Andhra Pradesh,Konaseema,2 to 5,0 to 2
2022-23,Andhra Pradesh,Krishna,2 to 5,10 to 20
2022-23,Andhra Pradesh,Kurnool,2 to 5,0 to 2
2022-23,Andhra Pradesh,Nandyal,2 to 5,0 to 2
2022-23,Andhra Pradesh,Ntr,2 to 5,5 to 10
2022-23,Andhra Pradesh,Palnadu,2 to 5,0 to 2
2022-23,Andhra Pradesh,Parvathipuram Manyam,2 to 5,0 to 2
2022-23,Andhra Pradesh,Prakasam,5 to 10,5 to 10
2022-23,Andhra Pradesh,Sri Potti Sriramulu Nellore,2 to 5,2 to 5
2022-23,Andhra Pradesh,Sri Sathya Sai,2 to 5,0 to 2
2022-23,Andhra Pradesh,Srikakulam,2 to 5,0 to 2
2022-23,Andhra Pradesh,Tirupati,2 to 5,0 to 2
2022-23,Andhra Pradesh,Visakhapatnam,2 to 5,0 to 2
